Time,PID_distance,APID_distance,SPID_distance
94,-0.1096437605027778,-0.030277084313370395,-0.030277084313370395
95,-0.10842397173737961,-0.00027708431337059025,-0.00027708431337059025
96,-0.10721775314346615,0.029722915686629214,0.029722915686629214
97,-0.1060249537526401,0.030201972439197533,0.030201972439197533
98,-0.10484542427603083,0.00020197243919728436,0.00020197243919728436
99,-0.10367901708561078,-0.029798027560802964,-0.029798027560802964
100,-0.10252558619571106,-0.030238986979091553,-0.030238986979091553
101,-0.10138498724476541,-0.0002389869790917487,-0.0002389869790917487
102,-0.10025707747722201,0.0297610130209085,0.0297610130209085
103,-0.09914171572569597,0.030220107147070685,0.030220107147070685
104,-0.09803876239328613,0.0002201071470713245,0.0002201071470713245
105,-0.09694807943611217,-0.029779892852928036,-0.029779892852928036
106,-0.09586953034603418,-0.030229039221834952,-0.030229039221834952
107,-0.09480298013356592,-0.0002290392218347037,-0.0002290392218347037
108,-0.09374829531098339,0.029770960778165545,0.029770960778165545
109,-0.09270534387561558,0.03022414419072117,0.03022414419072117
110,-0.09167399529332254,0.0002241441907218089,0.0002241441907218089
111,-0.09065412048215915,-0.02977585580927755,-0.02977585580927755
112,-0.08964559179622267,-0.030226121036073472,-0.030226121036073472
113,-0.08864828300966554,-0.00022612103607322354,-0.00022612103607322354
114,-0.08766206930091425,0.029773878963927025,0.029773878963927025
115,-0.08668682723702936,0.030224683446427925,0.030224683446427925
116,-0.0857224347582699,0.00022468344642856408,0.00022468344642856408
117,-0.08476877116281223,-0.029775316553570796,-0.029775316553570796
118,-0.08382571709163855,-0.030224942340302263,-0.030224942340302263
119,-0.08289315451360402,-0.00022494234030201454,-0.00022494234030201454
120,-0.0819709667106645,0.029775057659698234,0.029775057659698234
121,-0.08105903826326433,0.030224358523521566,0.030224358523521566
122,-0.08015725503589177,0.00022435852352220564,0.00022435852352220564
123,-0.07926550416279543,-0.029775641476477155,-0.029775641476477155
124,-0.07838367403385771,-0.030224193425506307,-0.030224193425506307
125,-0.07751165428062556,-0.00022419342550605847,-0.00022419342550605847
126,-0.07664933576249577,0.02977580657449419,0.02977580657449419
127,-0.07579661055305831,0.030223820424557957,0.030223820424557957
128,-0.07495337192658358,0.0002238204245585962,0.0002238204245585962
129,-0.07411951434467046,-0.029776179575440764,-0.029776179575440764
130,-0.07329493344303195,-0.03022355078247596,-0.03022355078247596
131,-0.07247952601843899,-0.00022355078247571214,-0.00022355078247571214
132,-0.07167319001579386,0.029776449217524537,0.029776449217524537
133,-0.07087582451537244,0.03022322989381898,0.03022322989381898
134,-0.0700873297201765,0.00022322989381962088,0.00022322989381962088
135,-0.06930760694345484,-0.02977677010617974,-0.02977677010617974
136,-0.06853655859634777,-0.03022293454837577,-0.03022293454837577
137,-0.06777408817567387,-0.00022293454837551963,-0.00022293454837551963
138,-0.06702010025184979,0.02977706545162473,0.02977706545162473
139,-0.0662745004569496,0.030222626607912417,0.030222626607912417
140,-0.06553719547288939,0.00022262660791305677,0.00022262660791305677
141,-0.06480809301975388,-0.029777373392086304,-0.029777373392086304
142,-0.06408710184424393,-0.030222325013270712,-0.030222325013270712
143,-0.06337413170825013,-0.0002223250132704635,-0.0002223250132704635
144,-0.06266909337756754,0.029777674986729785,0.029777674986729785
145,-0.061971898610724274,0.030222020358267265,0.030222020358267265
146,-0.06128246014793248,0.00022202035826790478,0.00022202035826790478
147,-0.06060069170017446,-0.029777979641731456,-0.029777979641731456
148,-0.059926507938396156,-0.030221717313964724,-0.030221717313964724
149,-0.059259824482834844,-0.0002217173139644757,-0.0002217173139644757
150,-0.058600557892450666,0.029778282686035773,0.029778282686035773
151,-0.057948625654486996,0.03022141356093666,0.03022141356093666
152,-0.05730394617414625,0.00022141356093730025,0.00022141356093730025
153,-0.0566664387643705,-0.02977858643906206,-0.02977858643906206
154,-0.05603602363574911,-0.030221110250935546,-0.030221110250935546
155,-0.0554126218865294,-0.0002211102509352969,-0.0002211102509352969
156,-0.05479615549274275,0.029778889749064952,0.029778889749064952
157,-0.054186547298436416,0.03022080681215389,0.03022080681215389
158,-0.053583721006020824,0.00022080681215452813,0.00022080681215452813
159,-0.052987601166719855,-0.029779193187844832,-0.029779193187844832
160,-0.05239811317112242,-0.03022050352855299,-0.03022050352855299
161,-0.05181518323985124,-0.00022050352855274014,-0.00022050352855274014
162,-0.0512387384143258,0.02977949647144751,0.02977949647144751
163,-0.05066870654762923,0.03022020025921357,0.03022020025921357
164,-0.05010501629548436,0.00022020025921420938,0.00022020025921420938
165,-0.04954759710731427,-0.02977979974078515,-0.02977979974078515
166,-0.04899637921742439,-0.030219897074156954,-0.030219897074156954
167,-0.048451293636261106,-0.00021989707415670523,-0.00021989707415670523
168,-0.047912272141782175,0.029780102925843543,0.029780102925843543
169,-0.04737924727091691,0.030219593938680234,0.030219593938680234
170,-0.0468521523111205,0.00021959393868087318,0.00021959393868087318
171,-0.046330921292030425,-0.029780406061318487,-0.029780406061318487
172,-0.045815488977200225,-0.03021929087007269,-0.03021929087007269
173,-0.04530579085594599,-0.00021929087007244163,-0.00021929087007244163
